,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,CPM,Region,Source,Latitude,Longitude,Size_Categorie,station,Metagenome,depth,tricho_present,logCPM,phage_present
SRR19658999,17,832,0.557641,0.0117895,35.8,56.2,0.11394101876675604,North Atlantic,Picked Colony,12.5,338.0,colony,12.5ºN 22.0ºW,NA,SUR,Picked Colony,-0.943319901758376,False
FischkornScope22March16_TAGCTT,34634,145338,97.4115,22.5528,35.8,58.7,232.1313672922252,North Pacific,Picked Colony,24.413,203.688,colony,24.413ºN 156.312ºW,NA,SUR,Picked Colony,2.3657338294756873,True
SRR7822620,37683,129526,86.8137,22.9987,36.6,56.8,252.56702412868634,South Pacific,Picked Colony,-22.0,170.0,colony,22ºS 170ºE,NA,SUR,Picked Colony,2.4023766471939054,True
SRR19658997,62,1246,0.835121,0.0469571,35.7,58.5,0.41554959785522794,North Atlantic,Picked Colony,12.8,303.0,colony,12.8ºN 57.0ºW,NA,SUR,Picked Colony,-0.3813771336383961,False
7_7_17_slick_S282,504694,149193,99.9953,487.022,39.2,58.7,3382.667560321716,North Pacific,Picked Colony,24.97,201.55,colony,24.97ºN 158.45ºW,NA,SUR,Picked Colony,3.529259318564778,True
SRR19658993,1045,1053,0.705764,0.795214,35.7,58.9,7.00402144772118,South Atlantic,Picked Colony,-5.6,333.5,colony,5.6ºS 26.5ºW,NA,SUR,Picked Colony,0.8453474673104229,False
SRR26283904,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR7822621,88769,139285,93.3546,54.9975,36.7,57.6,594.9664879356569,South Pacific,Picked Colony,-19.21,164.69,colony,19.21ºS 164.69ºE,NA,SUR,Picked Colony,2.7744925043596407,True
SRR5134580,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Picked Colony,22.45,202.0,colony,22.45°N 158°W,NA,SUR,Picked Colony,-2.0,False
SRR19658990,3,307,0.205764,0.00205764,33.6,60.0,0.020107238605898126,North Atlantic,Picked Colony,7.5,311.5,colony,7.5ºN 48.5ºW,NA,SUR,Picked Colony,-1.6966475684169875,False
SRR17940154,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR5134611,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Picked Colony,22.45,202.0,colony,22.45°N 158°W,NA,SUR,Picked Colony,-2.0,False
SRR6490004,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,27.86,295.01,colony,27.86ºN 64.99ºW,NA,SUR,Picked Colony,-2.0,False
SRR17940156,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Picked Colony,29.56,34.95,colony,29.56°N 34.95°E,NA,SUR,Picked Colony,-2.0,False
SRR19658998,47,2102,1.40885,0.0370912,35.7,59.4,0.3150134048257373,North Atlantic,Picked Colony,6.5,338.0,colony,6.5ºN 22.0ºW,NA,SUR,Picked Colony,-0.5016709652009325,False
SRR6490005,28,1126,0.754692,0.0157306,36.8,55.1,0.18766756032171583,North Atlantic,Picked Colony,11.86,300.56,colony,11.86ºN 59.44ºW,NA,SUR,Picked Colony,-0.7266107917944308,False
SRR19658989,8,498,0.33378,0.00652815,36.6,52.8,0.05361930294906166,North Atlantic,Picked Colony,7.5,311.5,colony,7.5ºN 48.5ºW,NA,SUR,Picked Colony,-1.2706788361447063,False
SRR6490006,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,9.9,301.51,colony,9.9ºN 58.49ºW,NA,SUR,Picked Colony,-2.0,False
SRR19658991,0,0,0.0,0.0,0.0,0.0,0.01,North Atlantic,Picked Colony,5.0,315.7,colony,5.0ºN 44.3ºW,NA,SUR,Picked Colony,-2.0,False
S281,115,9266,6.21046,0.105241,39.4,59.6,0.7707774798927615,North Pacific,Picked Colony,24.0,202.0,colony,24ºN 158ºW,NA,SUR,Picked Colony,-0.11307098278303826,False
